epoch,iso,id_hex,extended,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1756483007.974316,2025-08-29T16:56:47,000003B4,0,2,0,0,,,,,,
1756483007.974544,2025-08-29T16:56:47,00000157,0,8,160,15,0,3,1,18,0,0
1756483007.974794,2025-08-29T16:56:47,00000158,0,8,0,0,0,0,0,0,0,0
1756483007.975342,2025-08-29T16:56:47,00000030,0,4,0,0,192,82,,,,
1756483007.978289,2025-08-29T16:56:47,0000000A,1,8,0,0,255,253,0,0,1,245
1756483007.978590,2025-08-29T16:56:47,00000E0A,1,8,255,255,255,49,255,255,254,190
1756483007.978858,2025-08-29T16:56:47,0000100A,1,8,1,10,0,243,0,0,0,0
1756483007.979151,2025-08-29T16:56:47,00003A0A,1,8,5,191,12,166,5,191,0,0
1756483007.982362,2025-08-29T16:56:47,00000014,1,8,0,0,255,253,0,0,1,239
1756483007.982652,2025-08-29T16:56:47,00000E14,1,8,255,255,254,95,0,0,0,6
1756483007.982968,2025-08-29T16:56:47,00001014,1,8,1,5,0,227,0,0,0,0
1756483007.983178,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.983468,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.983623,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.985369,2025-08-29T16:56:47,00000030,0,4,0,0,192,83,,,,
1756483007.990053,2025-08-29T16:56:47,00000500,0,8,240,100,0,20,0,0,255,255
1756483007.992495,2025-08-29T16:56:47,00000038,0,7,140,0,0,248,255,0,0,
1756483007.992676,2025-08-29T16:56:47,0000020A,1,4,0,0,1,243,,,,
1756483007.992895,2025-08-29T16:56:47,00000214,1,4,0,0,1,243,,,,
1756483007.994375,2025-08-29T16:56:47,00000780,0,2,67,213,,,,,,
1756483007.994525,2025-08-29T16:56:47,00000167,0,3,127,48,0,,,,,
1756483007.994654,2025-08-29T16:56:47,000003B4,0,2,0,0,,,,,,
1756483007.994876,2025-08-29T16:56:47,00000040,0,6,10,0,2,3,0,0,,
1756483007.994989,2025-08-29T16:56:47,000003B6,0,1,0,,,,,,,
1756483007.995124,2025-08-29T16:56:47,000003B5,0,2,0,0,,,,,,
1756483007.995357,2025-08-29T16:56:47,00000157,0,8,160,15,0,3,1,18,0,0
1756483007.995615,2025-08-29T16:56:47,00000158,0,8,0,0,0,0,0,0,0,0
1756483007.995790,2025-08-29T16:56:47,00000030,0,4,0,0,192,84,,,,
1756483007.998280,2025-08-29T16:56:47,0000000A,1,8,0,0,0,4,0,0,1,245
1756483007.998596,2025-08-29T16:56:47,00000E0A,1,8,255,255,255,35,255,255,254,147
1756483007.998866,2025-08-29T16:56:47,0000100A,1,8,1,10,0,243,0,0,0,0
1756483008.002367,2025-08-29T16:56:48,00000014,1,8,0,0,0,3,0,0,1,239
1756483008.002651,2025-08-29T16:56:48,00000E14,1,8,255,255,254,84,0,0,0,8
1756483008.002952,2025-08-29T16:56:48,00001014,1,8,1,5,0,227,0,0,0,0
1756483008.003222,2025-08-29T16:56:48,00003A14,1,8,5,143,12,151,5,143,0,0
1756483008.003472,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.003693,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.003905,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.004175,2025-08-29T16:56:48,0000170A,1,8,255,255,232,145,0,0,185,139
1756483008.004472,2025-08-29T16:56:48,00001714,1,8,255,255,232,145,0,0,185,139
1756483008.004722,2025-08-29T16:56:48,000000D2,0,8,0,0,0,0,10,0,0,0
1756483008.004969,2025-08-29T16:56:48,00000610,0,8,0,0,0,0,0,0,0,0
1756483008.005471,2025-08-29T16:56:48,00000030,0,4,0,0,192,85,,,,
1756483008.012517,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.012673,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.012895,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.014351,2025-08-29T16:56:48,000003B4,0,2,0,0,,,,,,
1756483008.014547,2025-08-29T16:56:48,00000157,0,8,160,15,0,3,1,18,0,0
1756483008.014808,2025-08-29T16:56:48,00000158,0,8,0,0,0,0,0,0,0,0
1756483008.015375,2025-08-29T16:56:48,00000030,0,4,0,0,192,86,,,,
1756483008.018314,2025-08-29T16:56:48,0000000A,1,8,0,0,0,4,0,0,1,245
1756483008.018586,2025-08-29T16:56:48,00000E0A,1,8,255,255,255,45,255,255,254,187
1756483008.018875,2025-08-29T16:56:48,0000100A,1,8,1,10,0,243,0,0,0,0
1756483008.022398,2025-08-29T16:56:48,00000014,1,8,0,0,0,4,0,0,1,239
1756483008.022668,2025-08-29T16:56:48,00000E14,1,8,255,255,254,105,0,0,0,7
1756483008.022954,2025-08-29T16:56:48,00001014,1,8,1,5,0,227,0,0,0,0
1756483008.023166,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.023396,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.023628,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.025336,2025-08-29T16:56:48,00000030,0,4,0,0,192,87,,,,
1756483008.032512,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.032684,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.032908,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.034355,2025-08-29T16:56:48,000003B4,0,2,0,0,,,,,,
1756483008.034541,2025-08-29T16:56:48,00000157,0,8,160,15,0,3,1,18,0,0
1756483008.034816,2025-08-29T16:56:48,00000158,0,8,0,0,0,0,0,0,0,0
1756483008.035361,2025-08-29T16:56:48,00000030,0,4,0,0,192,88,,,,
1756483008.038277,2025-08-29T16:56:48,0000000A,1,8,0,0,255,252,0,0,1,245
1756483008.038572,2025-08-29T16:56:48,00000E0A,1,8,255,255,255,45,255,255,254,162
1756483008.038850,2025-08-29T16:56:48,0000100A,1,8,1,10,0,243,0,0,0,0
1756483008.040005,2025-08-29T16:56:48,00000500,0,8,240,100,0,20,0,0,255,255
1756483008.042372,2025-08-29T16:56:48,00000014,1,8,0,0,0,3,0,0,1,239
1756483008.042669,2025-08-29T16:56:48,00000E14,1,8,255,255,254,76,0,0,0,0
1756483008.042949,2025-08-29T16:56:48,00001014,1,8,1,5,0,227,0,0,0,0
1756483008.043179,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.043473,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.043629,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.044305,2025-08-29T16:56:48,00000780,0,2,68,213,,,,,,
1756483008.045352,2025-08-29T16:56:48,00000030,0,4,0,0,192,89,,,,
1756483008.052479,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.052672,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.052902,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.053170,2025-08-29T16:56:48,0000170A,1,8,255,255,232,145,0,0,185,139
1756483008.053478,2025-08-29T16:56:48,00001714,1,8,255,255,232,145,0,0,185,139
1756483008.053711,2025-08-29T16:56:48,000000D2,0,8,0,0,0,0,10,0,0,0
1756483008.053948,2025-08-29T16:56:48,000005FF,0,8,100,100,0,0,0,0,17,100
1756483008.054202,2025-08-29T16:56:48,00000620,0,8,0,0,0,0,232,46,0,0
1756483008.054478,2025-08-29T16:56:48,00000618,0,8,0,0,10,0,0,0,0,0
1756483008.054713,2025-08-29T16:56:48,00000600,0,8,0,0,0,0,0,0,0,0
1756483008.054849,2025-08-29T16:56:48,000003B4,0,2,0,0,,,,,,
1756483008.055084,2025-08-29T16:56:48,00000157,0,8,160,15,0,3,1,18,0,0
1756483008.055337,2025-08-29T16:56:48,00000158,0,8,0,0,0,0,0,0,0,0
1756483008.055512,2025-08-29T16:56:48,00000030,0,4,0,0,192,90,,,,
1756483008.058278,2025-08-29T16:56:48,0000000A,1,8,0,0,255,252,0,0,1,245
1756483008.058574,2025-08-29T16:56:48,00000E0A,1,8,255,255,255,38,255,255,254,145
1756483008.058853,2025-08-29T16:56:48,0000100A,1,8,1,10,0,243,0,0,0,0
1756483008.062379,2025-08-29T16:56:48,00000014,1,8,0,0,255,252,0,0,1,239
1756483008.062670,2025-08-29T16:56:48,00000E14,1,8,255,255,254,107,0,0,0,34
1756483008.062950,2025-08-29T16:56:48,00001014,1,8,1,5,0,227,0,0,0,0
1756483008.063174,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.063399,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.063623,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.065339,2025-08-29T16:56:48,00000030,0,4,0,0,192,91,,,,
1756483008.072501,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.072666,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.072889,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.074303,2025-08-29T16:56:48,000003B4,0,2,0,0,,,,,,
1756483008.074548,2025-08-29T16:56:48,00000157,0,8,160,15,0,3,1,18,0,0
1756483008.074791,2025-08-29T16:56:48,00000158,0,8,0,0,0,0,0,0,0,0
1756483008.075340,2025-08-29T16:56:48,00000030,0,4,0,0,192,92,,,,
1756483008.078276,2025-08-29T16:56:48,0000000A,1,8,0,0,255,253,0,0,1,245
1756483008.078560,2025-08-29T16:56:48,00000E0A,1,8,255,255,255,43,255,255,254,168
1756483008.078857,2025-08-29T16:56:48,0000100A,1,8,1,10,0,243,0,0,0,0
1756483008.079134,2025-08-29T16:56:48,00003A0A,1,8,5,190,12,166,5,190,0,0
1756483008.082374,2025-08-29T16:56:48,00000014,1,8,0,0,255,252,0,0,1,239
1756483008.082663,2025-08-29T16:56:48,00000E14,1,8,255,255,254,78,0,0,0,11
1756483008.082957,2025-08-29T16:56:48,00001014,1,8,1,5,0,227,0,0,0,0
1756483008.083185,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.083406,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.083617,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.085360,2025-08-29T16:56:48,00000030,0,4,0,0,192,93,,,,
1756483008.090006,2025-08-29T16:56:48,00000500,0,8,240,100,0,20,0,0,255,255
